공고번호,기준년도,공고명,사업명,전문기관명,접수시작일,접수마감일,세부사업명
2017006,2017,"2017년도 ""신기후체제 대응 연구""사업 시행계획 공고",신기후체제 대응 연구(R&D),한국임업진흥원,2017-01-23,2017-02-03,신기후체제 대응 연구(R&D)
2017001,2017,"2017년도 ""산림생명자원 소재발굴 연구"" 시행계획 공고",산림생명자원 소재발굴 연구(산림청),산림청,2017-01-23,2017-02-03,산림생명자원 소재발굴 연구(산림청)
2017007,2017,"2017년도 ""생물다양성 위협외래생물관리 기술개발사업"" 시행계획 공고",생물다양성위협 외래생물관리 기술개발사업(산림청),한국임업진흥원,2017-01-23,2017-02-03,생물다양성위협 외래생물관리 기술개발사업(산림청)
2017021,2017,"2017년도 ""융복합기반 임산업의 신산업화 기술개발(RnD)""사업 시행계획 재공고",융복합기반 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2017-04-14,2017-05-15,융복합기반 임산업의 신산업화 기술개발(R&D)
2017022,2017,"2017년도 '신기후체제 대응 연구(RnD)""사업 시행계획 재공고",신기후체제 대응 연구(R&D),한국임업진흥원,2017-04-14,2017-05-15,신기후체제 대응 연구(R&D)
2017026,2017,2017년도 임업기술연구개발(RnD)사업 제2차 중간평가 실시 계획 공고 ,임업기술연구개발(R&D),한국임업진흥원,2017-04-28,2017-05-05,임업기술연구개발(R&D)
2017009,2017,"2017년도 ""융복합기반 임산업의 신산업화 기술개발""사업 신규과제 추가접수 공고",융복합기반 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2017-02-06,2017-02-13,융복합기반 임산업의 신산업화 기술개발(R&D)
2017010,2017,"2017년도 ""신기후체제 대응 연구""사업 신규 자유공모 과제 추가접수 공고",신기후체제 대응 연구(R&D),한국임업진흥원,2017-02-06,2017-02-13,신기후체제 대응 연구(R&D)
2017013,2017,2017년도 융복합기반 임산업의 신산업화 기술개발(RnD)사업 제1차 계속과제 중간평가 계획 공고,융복합기반 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2017-03-01,2017-03-03,융복합기반 임산업의 신산업화 기술개발(R&D)
2017019,2017,2017년도 임업기술연구개발(RnD)사업 제1차 중간평가 실시 계획 공고,임업기술연구개발(R&D),한국임업진흥원,2017-03-30,2017-03-30,임업기술연구개발(R&D)
2017029,2017,2017년도 임업기술연구개발(RnD)사업 제1차 최종평가 실시 계획 공고,임업기술연구개발(R&D),한국임업진흥원,2017-05-22,2017-05-29,임업기술연구개발(R&D)
2017030,2017,2017년도 '융복합기반 임산업의 신산업화 기술개발(RnD)' 시행계획 추가 공고,융복합기반 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2017-05-30,2017-06-09,융복합기반 임산업의 신산업화 기술개발(R&D)
2017023,2017,융합형 산림 비즈니스 개발 연구사업단,임업기술연구개발(R&D),한국임업진흥원,2017-02-01,2017-03-01,임업기술연구개발(R&D)
2017033,2017,2017년도 융복합기반 임산업의 신산업화 기술개발(RnD)사업 제2차 중간평가 실시 계획 공고,융복합기반 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2017-06-13,2017-06-15,융복합기반 임산업의 신산업화 기술개발(R&D)
2017034,2017,2017년도 임업기술연구개발(RnD)사업 제2차 최종평가 실시 계획 공고,임업기술연구개발(R&D),한국임업진흥원,2017-06-13,2017-06-15,임업기술연구개발(R&D)
2017035,2017,2017년도 임업기술연구개발(RnD)사업 제3차 최종평가 실시 계획 공고,임업기술연구개발(R&D),한국임업진흥원,2017-07-05,2017-07-06,임업기술연구개발(R&D)
2019014,2019,2019년도 산림과학기술 연구개발사업 제3차 통합 최종평가 계획(안) 알림,신기후체제 대응 연구(R&D),한국임업진흥원,2019-03-13,2019-05-01,신기후체제 대응 연구(R&D)
2020010,2020,산림생명자원 소재 발굴 연구’사업 2020년도 신규과제 선정계획 공고 ,산림생명자원 소재 발굴연구(R&D),한국임업진흥원,2019-11-11,2019-12-09,산림생명자원 소재 발굴연구(R&D)
2020011,2020,산림생명자원 소재 발굴 연구’사업 2020년도 신규과제 선정계획 공고 ,산림생명자원 소재 발굴연구(R&D),한국임업진흥원,2019-11-11,2019-12-09,산림생명자원 소재 발굴연구(R&D)
2020012,2020,산림생명자원 소재 발굴 연구’사업 2020년도 신규과제 선정계획 공고 ,산림생명자원 소재 발굴연구(R&D),한국임업진흥원,2019-11-11,2019-12-09,산림생명자원 소재 발굴연구(R&D)
2020013,2020,산림생명자원 소재 발굴 연구’사업 2020년도 신규과제 선정계획 공고 ,산림생명자원 소재 발굴연구(R&D),한국임업진흥원,2019-11-11,2019-12-09,산림생명자원 소재 발굴연구(R&D)
2020014,2020,산림생명자원 소재 발굴 연구사업 2020년도 신규과제 선정계획 공고 ,산림생명자원 소재 발굴연구(R&D),한국임업진흥원,2019-11-11,2019-12-09,산림생명자원 소재 발굴연구(R&D)
2020015,2020,2020년도 산림과학기술 연구개발사업(신기후체제 대응 연구개발사업) 통합 중간평가 실시,신기후체제 대응 연구(R&D),한국임업진흥원,2019-11-14,2019-11-27,신기후체제 대응 연구(R&D)
2020016,2020,2020년도 임업기술연구개발(RnD)사업 통합 중간평가 실시 계획 공고,임업기술연구개발(R&D),한국임업진흥원,2019-11-14,2019-11-28,임업기술연구개발(R&D)
2019001,2019,2019년도 임업기술연구개발(RnD)사업 통합 중간평가 실시 계획 공고,임업기술연구개발(R&D),한국임업진흥원,2018-11-07,2018-11-22,임업기술연구개발(R&D)
2019002,2019,2019년도 융복합기반 임산업의 신산업화 기술개발(RnD)사업 통합 중간평가 실시 계획 공고,융복합기반의 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2018-11-07,2018-11-22,융복합기반의 임산업의 신산업화 기술개발(R&D)
2019003,2019,2019년도 산림생명자원 소재 발굴 연구(RnD)사업 통합 중간평가 실시 계획 공고,산림생명자원 소재 발굴연구(R&D),한국임업진흥원,2018-11-07,2018-11-22,산림생명자원 소재 발굴연구(R&D)
2019004,2019,2019년도 신기후체제 대응 연구(RnD)사업 통합 중간평가 실시 계획 공고,신기후체제 대응 연구(R&D),한국임업진흥원,2018-11-07,2018-11-22,신기후체제 대응 연구(R&D)
2019005,2019,2019년도 생물다양성 위협 외래생물 관리 기술개발(RnD)사업 통합 중간평가 실시 계획 공고,생물다양성위협 외래생물관리 기술개발(산림청),한국임업진흥원,2018-11-07,2018-11-22,생물다양성위협 외래생물관리 기술개발(산림청)
2020017,2020,2020년도 융복합기반 임산업의 신산업화 기술개발(RnD)사업 통합 중간평가 실시 계획 공고,융복합기반의 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2019-11-14,2019-11-28,융복합기반의 임산업의 신산업화 기술개발(R&D)
2020018,2020,2020년도 산림과학기술 연구개발사업[산림산업 첨단융합기술 전문인력 양성사업] 통합 중간평가 실시,산림융복합 전문인력 양성사업(R&D),한국임업진흥원,2019-12-02,2019-12-17,산림융복합 전문인력 양성사업(R&D)
2020019,2020,2020년도 산림과학기술 연구개발사업[생물다양성 위협 외래생물 관리 기술개발]  중간평가 실시,생물다양성위협 외래생물관리 기술개발,한국임업진흥원,2019-12-02,2019-12-10,생물다양성위협 외래생물관리 기술개발
2018006,2018,2018년도 융복합기반 임산업의 신산업화 기술개발(RnD)사업 제2차 통합 중간평가 실시 계획 공고  ,융복합기반 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2018-01-04,2018-01-17,융복합기반 임산업의 신산업화 기술개발(R&D)
2018007,2018,2018년도 신기후체제 대응 연구(RnD)사업 제2차 통합 중간평가 실시 계획 공고  ,신기후체제 대응 연구(R&D),한국임업진흥원,2018-01-04,2018-01-17,신기후체제 대응 연구(R&D)
2018021,2018,2018년도 산림과학기술 연구개발사업 기획연구과제 지정공모 공고,융복합기반 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2018-05-29,2018-06-28,융복합기반 임산업의 신산업화 기술개발(R&D)
2019016,2019,"2019년도 임업기술연구개발사업(국민대 김영균, 서울대 정주상) 제5차 통합 최종평가 계획(안) 알림",임업기술연구개발(R&D),한국임업진흥원,2019-05-27,2019-07-12,임업기술연구개발(R&D)
2019017,2019,2019년도 융복합기반 임산업의 신산업화 기술개발사업(경상남도산림환경연구원 유찬열) 제5차 통합 최종평가 계획(안) 알림,융복합기반의 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2019-05-27,2019-07-15,융복합기반의 임산업의 신산업화 기술개발(R&D)
2020021,2020,2020년도 산림과학기술 연구개발사업[신기후체제 대응 연구] 최종평가 계획 알림,신기후체제 대응 연구(R&D),한국임업진흥원,2019-12-05,2020-01-06,신기후체제 대응 연구(R&D)
2020022,2020,2020년도 산림과학기술 연구개발사업[산림생명자원 소재 발굴 연구] 최종평가 계획 알림,산림생명자원 소재 발굴연구(R&D),한국임업진흥원,2019-12-05,2020-01-06,산림생명자원 소재 발굴연구(R&D)
2017037,2017,지역 산촌 활성화를 위한 사회적 경제 R&D 전략 기획,산림 과학연구(국립산림과학원),한국임업진흥원,2017-09-27,2017-09-28,산림 과학연구(국립산림과학원)
2017038,2017,산림과학기술 연구개발사업 2017년도 기획연구과제 지정공모 공고,임업기술연구개발(R&D),한국임업진흥원,2017-09-29,2017-10-30,임업기술연구개발(R&D)
2018010,2018," ""신기후체제 대응 연구""사업 2018년도 신규과제 선정계획 공고",신기후체제 대응 연구(R&D),한국임업진흥원,2018-02-19,2018-03-12,신기후체제 대응 연구(R&D)
2018011,2018,"'융복합기반 임산업의 신산업화 기술개발’사업 2018년도 신규과제 선정계획 공고 (지정, 자유공모과제)",융복합기반 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2018-02-19,2018-03-12,융복합기반 임산업의 신산업화 기술개발(R&D)
2018012,2018,"""신기후체제 대응 연구""사업 2018년도 신규과제 선정계획 공고 : 대학(원)생 창의도전 아이디어 지원과제",신기후체제 대응 연구(R&D),한국임업진흥원,2018-02-19,2018-03-12,신기후체제 대응 연구(R&D)
